customer,distribution_method,date,planned_method,final_method,completed_at,last_box_date,weekday,hour,morning_afternoon,is_unenrolled,deviation_from_plan,deviation_from_current,deviation_summary
Customer 27,pickup,2022-09-09,pickup,pickup,2022-09-10 10:17:31-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 2,delivery,2022-09-09,pickup,delivery,2022-09-09 17:35:41-04:00,,Friday,17,Afternoon,False,1,0,as planned
Customer 20,pickup,2022-09-09,pickup,pickup,2022-09-09 09:24:02-04:00,,Friday,9,Morning,False,0,0,as planned
Customer 8,pickup,2022-09-09,pickup,pickup,2022-09-10 12:17:14-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 23,pickup,2022-09-09,pickup,pickup,2022-09-10 14:28:39-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 0,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:38-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 43,pickup,2022-09-09,pickup,reallocate,2022-09-09 17:54:56-04:00,,Friday,17,Afternoon,False,1,1,reallocate
Customer 16,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:45-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 32,pickup,2022-09-09,pickup,pickup,2022-09-10 16:24:43-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 49,pickup,2022-09-09,pickup,pickup,2022-09-10 18:02:25-04:00,,Saturday,18,Afternoon,False,0,0,as planned
Customer 7,pickup,2022-09-09,pickup,pickup,2022-09-10 15:35:03-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 41,pickup,2022-09-09,pickup,pickup,2022-09-10 16:27:48-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 36,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:50-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 22,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:47-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 28,pickup,2022-09-09,pickup,pickup,2022-09-10 12:53:06-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 24,pickup,2022-09-09,pickup,pickup,2022-09-10 16:56:27-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 30,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:48-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 15,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:44-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 19,pickup,2022-09-09,pickup,pickup,2022-09-10 16:58:33-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 50,pickup,2022-09-09,pickup,pickup,2022-09-09 16:34:19-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 33,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:49-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 48,pickup,2022-09-09,pickup,pickup,2022-09-10 17:24:32-04:00,,Saturday,17,Afternoon,False,0,0,as planned
Customer 26,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:48-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 31,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:49-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 55,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:40-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 14,pickup,2022-09-09,pickup,pickup,2022-09-09 13:22:10-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 12,pickup,2022-09-09,pickup,pickup,2022-09-10 13:26:01-04:00,,Saturday,13,Afternoon,False,0,0,as planned
